,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,total_of_special_requests,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,meal_Undefined,reserved_room_type_B,reserved_room_type_C,reserved_room_type_D,reserved_room_type_E,reserved_room_type_F,reserved_room_type_G,reserved_room_type_H,reserved_room_type_L,reserved_room_type_P,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
booking_changes,-0.14437057249513174,0.00013809652321638579,0.00551177198467352,0.06328018213008418,0.09620957990260938,-0.051666038832536135,0.04894888847371924,0.012089755163282484,-0.026993891260727938,0.011606512969400852,1.0,-0.011635468744373285,0.019602248694786675,0.05284417256438826,0.07281255695496389,0.010170256509662362,0.05614815213479941,-0.023382557487502842,0.022494660365406892,0.044428405923046685,0.03704533690250465,-0.002794298438540492,0.024155559399947575,0.02832152336338071,0.024645485586666478,0.012174432928836439,-0.002403281559279524,-0.0033988387886739724,-0.11933742482271223,0.020991010078164386,0.007851828398036893,-0.0884802499487312,0.10560487888177651
days_in_waiting_list,0.05419314550317287,0.17008260374907433,0.022934739374536106,-0.054152569467586543,-0.002020420660389134,-0.008280488031565194,-0.03327261593658072,-0.022235786604174548,0.005928487609333426,-0.009397386592246862,-0.011635468744373285,1.0,-0.04076433103485544,-0.08272738821444578,-0.07243588261511973,-0.010629286767558022,0.02886886953750393,-0.04071125048485752,0.023397220985011697,-0.00961487605100091,-0.01092856859795435,-0.05153511841301409,-0.025154344350879022,-0.020804710681414453,-0.0170759978777721,-0.009383963862038287,-0.0009352758695786839,-0.0013227130593003453,0.12024814406993814,0.015220716465496617,-0.007731651735568848,-0.09903141827295198,0.11729714433854632
adr,0.04762222477729945,-0.06312599543678012,0.07581110263030945,0.049323278965926004,0.06521944705168572,0.23069002100132788,0.3248536049962062,-0.13432845735356758,-0.06565315282283503,-0.07215140593841873,0.019602248694786675,-0.04076433103485544,1.0,0.17223837350436397,-0.09675805960178885,0.011698876114758698,0.13572362978813038,-0.021908778272745847,-0.019452109496186365,-0.021615240065956987,0.10247874655954388,0.16329361031302095,0.10812730290595095,0.20551347658987268,0.1960879295865781,0.12159905220871627,0.0032032264947687594,-0.02020407785720083,-0.08762946216224382,-0.018690952314373795,-0.025298367094830528,0.17783740269392678,-0.16078948493605544
total_of_special_requests,-0.23470590167616248,-0.09568782746175925,0.02613935173569875,0.07268599941936457,0.06819912535059952,0.12285460102768943,0.08174482206816508,0.013055448533649582,-0.0483820035047743,0.03782706023121989,0.05284417256438826,-0.08272738821444578,0.17223837350436397,1.0,0.043411452094101695,-0.034999959337384284,-0.0184983043343467,0.06921103019951001,-0.049560616962697104,0.02478304452343345,0.02311065306535323,0.11471161367787784,0.07981067310973816,0.032946410565844464,0.014053864862749817,-0.015432569441034306,-0.0051090923564362616,-0.007225529280546998,-0.26802873199131233,-0.01996371133032066,0.006449778319125354,0.13183055783872147,-0.1576790915616569
hotel_Resort Hotel,-0.13650527083679134,-0.07540499564984121,-0.001260833193980513,0.18659519837482824,0.2340220200906713,0.013199287658513964,0.044204561134749396,0.05041687700045962,0.012289343951001409,0.004438973258805063,0.07281255695496389,-0.07243588261511973,-0.09675805960178885,0.043411452094101695,1.0,0.10585488417242363,0.1735865041752346,-0.21704839640766282,0.13993282242914917,-0.06841475497606575,0.1219984906715874,0.04780858989553788,0.21751593200153138,0.0154379498718803,0.12261573348274764,0.1000941602393974,0.009976130996876264,-0.003586024810007913,-0.17201413094456958,0.042233535805798667,0.02311990399813372,0.005712944178239099,-0.02776759916297425
meal_FB,0.03883246781825314,0.009712006125929262,0.02139247136120516,0.01747613732808051,0.015285365269828387,0.01448102611480338,-0.0012648756427839339,-0.009630406351396167,0.14384103545524318,-0.006068913115387788,0.010170256509662362,-0.010629286767558022,0.011698876114758698,-0.034999959337384284,0.10585488417242363,1.0,-0.03045614395905033,-0.025672561374693238,-0.008157336200218435,-0.007961276331658955,0.030100149643483814,-0.014086734664467141,-0.0025674391910381986,-0.003583555668707274,-0.005479025580685893,-2.498967363175767e-05,-0.0005815551570121238,-0.0008224638589574016,0.06167756081864956,-0.0030238255782838613,-0.004234443991435036,-0.012352798560495468,0.01944278481571593
meal_HB,-0.019829301857746527,0.1366235387780268,0.03836368206313439,0.10524258075098754,0.12144664350467986,0.04905937064788323,0.015743991596335417,-0.040244980816218356,0.01459253616188254,-0.028523874391014305,0.05614815213479941,0.02886886953750393,0.13572362978813038,-0.0184983043343467,0.1735865041752346,-0.03045614395905033,1.0,-0.11619353664321673,-0.03691995235136104,-0.02909068442752888,0.03386195615253487,0.004115504359091871,0.06323364333225855,-0.003663011608439958,0.0063208214236957876,0.014941117196865144,-0.0026321078547678523,-0.0037224561717356464,-0.004792399645000394,-0.011593734738904888,-0.012548258261466445,-0.16827588488101378,0.17324751628251886
meal_SC,0.0012956055249853911,-0.09762817850681188,-0.04039481508548617,-0.03504681328844654,-0.06303326789137344,-0.003325645457245046,-0.06778951542121399,-0.03843175751945407,-0.02835880586523818,-0.024257671340243852,-0.023382557487502842,-0.04071125048485752,-0.021908778272745847,0.06921103019951001,-0.21704839640766282,-0.025672561374693238,-0.11619353664321673,1.0,-0.031121134177901077,-0.021509621694698267,-0.026090640411460198,-0.12980989178780383,-0.07040188692935148,-0.0436244898864865,-0.040472841122286635,-0.022260994505501182,-0.002218696842817514,0.03203668878042484,-0.11622121592423462,-0.008343126627034993,-0.005284689480008884,0.13406943952049852,-0.1283913451343164
meal_Undefined,-0.02589284174304973,-0.015515540959637643,-0.027428492068511025,0.022201379290652072,0.032146125874814906,-0.005598026375901694,-0.013755108454284098,-0.002568201698878695,-0.002603722000248519,-0.008479616649027688,0.022494660365406892,0.023397220985011697,-0.019452109496186365,-0.049560616962697104,0.13993282242914917,-0.008157336200218435,-0.03691995235136104,-0.031121134177901077,1.0,-0.009650924398573586,0.014376502579954896,-0.02686240087343949,-0.007475257501243253,-0.009047986885753466,-0.006806702726399271,-0.007073326797519232,-0.0007049805357974869,-0.0009970180901512642,0.0013422196308985354,-0.0036655821045228874,-0.00447680962288752,-0.09662869524286379,0.10852951962312295
reserved_room_type_B,-0.008771358203799335,0.008763517847375049,0.007371484483903078,0.0031099977278732918,-0.0031658534842344383,-0.04843119414556831,0.10935144299639567,-0.011177562744297166,-0.004338980882198861,-0.005278597826709697,0.044428405923046685,-0.00961487605100091,-0.021615240065956987,0.02478304452343345,-0.06841475497606575,-0.007961276331658955,-0.02909068442752888,-0.021509621694698267,-0.009650924398573586,1.0,-0.00860864335237722,-0.0424875997822402,-0.0233545613681842,-0.015305002823280569,-0.012967485403217217,-0.006903320868112896,-0.0006880364761445805,-0.0009730549689915427,-0.03381397909319844,-0.003577480605704214,0.0007737767418658921,-0.040108043513182486,0.03454083270324475
